;Объем платной услуги;Валовый региональный продукт(ВРП);Индекс потребительских цен;Средний доход населения;Средний возраст населения;Расчет на душу населения;индекс физического объема в % соотношении к предыдущему году.
Субъекты;у;х1;х2;х3;х4;х5;х6
Белгородская область;14709263,1;955 329 249,4;103,18;32416,25;42,0033333333333;9343,79;101,8
 Брянская область;8125095,9;399 113 785,2;104,01;28330,75;42,1133333333333;5908,9;100,4
Владимирская область;9226695,9;535 493 361,4;103,07;25323;42,88;6156,1;98,2
 Воронежская область;23639737,99;1 001 790 281,3;103,23;31997,5;42,72;8695,4;99
 Ивановская область;4806099,3;254 968 880,4;103,32;25703,75;42,9966666666667;4542,89;98,5
Калужская область;6065064,4;549 755 818,5;103,06;31311,5;42,06;5520,4;102,3
 Костромская область;2915962,9;203 821 423,6;104,19;25240,25;42,08;4051,89;99,3
 Курская область;10262079,1;495 864 427,8;103,76;29108,5;42,5866666666667;8636,7;101
 Липецкая область;11727136,49;570 022 912,9;103,45;32468,5;42,3633333333333;9525,7;103,6
 Московская область;89932792,9;5 196 136 356,8;103,22;47798;40,5166666666667;10224,59;115,1
 Орловская область;5226932;266 655 649;103,76;26078,5;42,55;6230;99,1
 Рязанская область;3918207,8;436 417 665,1;103,68;26822,25;43,4766666666667;3118,3;96,6
 Смоленская область;2412205;349 237 634,9;102,72;27376,25;42,62;2148,1;97,3
 Тамбовская область;9533034,19;353 745 473,6;104,59;28026,75;43,8366666666667;8247,1;100,4
 Тверская область;5092265,4;488 367 456;102,64;27112,75;42,9766666666667;3662,3;102,5
 Тульская область;8035452,5;676 822 642,3;102,41;28438,25;43,5966666666667;5619,9;105,1
 Ярославская область;4498775,99;609 150 781,1;104,51;28596,75;42,4366666666667;3602,7;95,6
 Город Москва ;102353112,19;19 797 064 282,5;103,67;76080;41,3966666666667;8674;125
Республика Карелия;2965033,8;319 050 011,9;103,24;30754,5;41,5133333333333;4520,2;99,5
 Республика Коми;4378996,8;718 138 683,6;103,66;35220;41,9366666666667;5554,9;99,8
Ненецкий автономный округ (Архангельская область);288352,59;889 974 376,5;103,72;35606;39,52;5802,4;101,6
Архангельская область (кроме Ненецкого автономного округа);6063074;330 999 011,7;104,39;81301,25;41,5433333333333;5350,99;100
 Вологодская область;6047740,5;558 975 364,8;103,62;33785,75;36,2333333333333;4897,7;98,6
 Калининградская область;7173799;632 759 493,5;103,24;28329,75;41,78;7026,8;100,9
 Ленинградская область;6718088,8;520 951 191,3;103,42;29247,5;41,1233333333333;3264,5;101,4
Мурманская область;5970762,4;1 223 679 613,9;103,31;32615,75;40;7962,59;99,4
 Новгородская область;3022971,3;616 504 098,3;103,92;44064,75;41,78;4317,6;98
 Псковская область;3016537,8;273 807 999,5;103,01;26110,75;37,89;4506,1;99,2
 Город Санкт-Петербург город федерального значения;40042928,5;196 625 301,2;103,05;25453,25;42,82;6484,9;97,8
Республика Адыгея (Адыгея);2295331,7;5 186 129 328,4;103,26;47534;43,14;4842,29;103,6
 Республика Калмыкия;353131,3;131 125 774,9;102,5;29406,25;41,64;1135,5;97
 Республика Крым;18711770,19;88 986 895,5;103,95;18456,25;40,8366666666667;8639,2;103
 Краснодарский край;71953304,59;475 525 339,9;103,09;22370,25;39,64;12290,9;99,6
Астраханская область;4246150,19;2 577 131 143,3;103,11;36692,5;38,1566666666667;3728,6;98,5
Волгоградская область;19877804,5;601 811 216,1;103,07;24869,25;41,3633333333333;7251;103,7
 Ростовская область;50172546,89;963 214 357,3;103,15;24080,5;40,48;11204,1;106,7
 Город федерального значения Севастополь;11974986,1;1 636 017 488,9;103,3;30849,25;39,0533333333333;21402,49;95,2
Республика Дагестан;20850757,8;137 919 357,6;103,28;30463,75;41,55;6068,9;98,9
 Республика Ингушетия;393095,1;713 723 622,5;104,25;27519,5;41,3433333333333;592,7;100,4
