;Объем платной услуги;Валовый региональный продукт(ВРП);Индекс потребительских цен;Средний доход населения;Средний возраст населения;Расчет на душу населения;индекс физического объема в % соотношении к предыдущему году.
Субъекты;у;х1;х2;х3;х4;х5;х6
Белгородская область;21826623,2;955 329 249,4;103,18;32416,25;42,0033333333333;15704,7;102,7
 Брянская область;15049627,7;399 113 785,2;104,01;28330,75;42,1133333333333;14466,3;98,1
Владимирская область;22280446,2;535 493 361,4;103,07;25323;42,88;17954,49;104,6
 Воронежская область;32483467,4;1 001 790 281,3;103,23;31997,5;42,72;15473,3;101,8
 Ивановская область;14203243,3;254 968 880,4;103,32;25703,75;42,9966666666667;14833,9;100,9
Калужская область;14616584,69;549 755 818,5;103,06;31311,5;42,06;16280,99;102,2
 Костромская область;8364466,99;203 821 423,6;104,19;25240,25;42,08;15021,49;99,5
 Курская область;15151124,8;495 864 427,8;103,76;29108,5;42,5866666666667;14772,9;99,9
 Липецкая область;16411476,99;570 022 912,9;103,45;32468,5;42,3633333333333;16113,59;95,2
 Московская область;153573104,19;5 196 136 356,8;103,22;47798;40,5166666666667;21640,19;88,7
 Орловская область;9888677,69;266 655 649;103,76;26078,5;42,55;14897,4;98,3
 Рязанская область;19199816,49;436 417 665,1;103,68;26822,25;43,4766666666667;19423,3;104,7
 Смоленская область;11463130,39;349 237 634,9;102,72;27376,25;42,62;15309,3;98
 Тамбовская область;13067712,8;353 745 473,6;104,59;28026,75;43,8366666666667;14479,4;100,5
 Тверская область;18655001,39;488 367 456;102,64;27112,75;42,9766666666667;16143,8;100,4
 Тульская область;24910413,6;676 822 642,3;102,41;28438,25;43,5966666666667;18638,3;100,7
 Ярославская область;19940295,3;609 150 781,1;104,51;28596,75;42,4366666666667;16461,39;99,3
 Город Москва ;188067048,59;19 797 064 282,5;103,67;76080;41,3966666666667;15406,9;89,1
Республика Карелия;9767712,4;319 050 011,9;103,24;30754,5;41,5133333333333;18115;108,5
 Республика Коми;15798508;718 138 683,6;103,66;35220;41,9366666666667;21180,69;101,4
Ненецкий автономный округ (Архангельская область);834586,4;889 974 376,5;103,72;35606;39,52;19379,19;102,1
Архангельская область (кроме Ненецкого автономного округа);15540030,39;330 999 011,7;104,39;81301,25;41,5433333333333;16719,7;100,6
 Вологодская область;18805234,1;558 975 364,8;103,62;33785,75;36,2333333333333;17875,8;109,5
 Калининградская область;15204918,59;632 759 493,5;103,24;28329,75;41,78;15651,1;102,4
 Ленинградская область;33304847,3;520 951 191,3;103,42;29247,5;41,1233333333333;19710,8;104
Мурманская область;20250263,49;1 223 679 613,9;103,31;32615,75;40;28965,3;101,5
 Новгородская область;8318819,09;616 504 098,3;103,92;44064,75;41,78;15628,19;96,9
 Псковская область;7788167,8;273 807 999,5;103,01;26110,75;37,89;13983,9;101,8
 Город Санкт-Петербург город федерального значения;84908068,79;196 625 301,2;103,05;25453,25;42,82;17582,2;95,4
Республика Адыгея (Адыгея);5093070,9;5 186 129 328,4;103,26;47534;43,14;12891,59;104,3
 Республика Калмыкия;2345621,99;131 125 774,9;102,5;29406,25;41,64;8961;99
