;Объем платной услуги;Валовый региональный продукт(ВРП);Индекс потребительских цен;Средний доход населения;Средний возраст населения;Расчет на душу населения;индекс физического объема в % соотношении к предыдущему году.
Субъекты;у;х1;х2;х3;х4;х5;х6
Белгородская область;1086653,89;955 329 249,4;103,18;32416,25;42,0033333333333;971,6;47,4
 Брянская область;383891;399 113 785,2;104,01;28330,75;42,1133333333333;424,5;60,3
Владимирская область;681979,8;535 493 361,4;103,07;25323;42,88;694,7;55,6
 Воронежская область;912125;1 001 790 281,3;103,23;31997,5;42,72;654,7;42,9
 Ивановская область;305284,8;254 968 880,4;103,32;25703,75;42,9966666666667;442,1;45,2
Калужская область;444178,8;549 755 818,5;103,06;31311,5;42,06;696,4;83,4
 Костромская область;234684,8;203 821 423,6;104,19;25240,25;42,08;441,7;55,8
 Курская область;260097,8;495 864 427,8;103,76;29108,5;42,5866666666667;278,89;46,5
 Липецкая область;527661,4;570 022 912,9;103,45;32468,5;42,3633333333333;669,8;42,9
 Московская область;5082224,5;5 196 136 356,8;103,22;47798;40,5166666666667;840,5;69,7
 Орловская область;194117,8;266 655 649;103,76;26078,5;42,55;404,5;57,1
 Рязанская область;548415;436 417 665,1;103,68;26822,25;43,4766666666667;835,3;49,6
 Смоленская область;179209,89;349 237 634,9;102,72;27376,25;42,62;279,6;64,5
 Тамбовская область;210753,7;353 745 473,6;104,59;28026,75;43,8366666666667;287;39
 Тверская область;433938,4;488 367 456;102,64;27112,75;42,9766666666667;531,7;55,9
 Тульская область;472048,1;676 822 642,3;102,41;28438,25;43,5966666666667;489,89;55,7
 Ярославская область;683826,2;609 150 781,1;104,51;28596,75;42,4366666666667;900,6;54
 Город Москва столица Российской Федерации город федерального значения;32979576,9;19 797 064 282,5;103,67;76080;41,3966666666667;3726,49;58,5
Республика Карелия;359221,6;319 050 011,9;103,24;30754,5;41,5133333333333;899;65,9
 Республика Коми;277750,7;718 138 683,6;103,66;35220;41,9366666666667;452,2;53,7
Ненецкий автономный округ (Архангельская область);13799,4;889 974 376,5;103,72;35606;39,52;482,9;38,6
Архангельская область (кроме Ненецкого автономного округа);416630,6;330 999 011,7;104,39;81301,25;41,5433333333333;673,6;45,2
 Вологодская область;996073,9;558 975 364,8;103,62;33785,75;36,2333333333333;1063,7;68,3
 Калининградская область;788052,3;632 759 493,5;103,24;28329,75;41,78;1341,7;55,3
 Ленинградская область;1776454,8;520 951 191,3;103,42;29247,5;41,1233333333333;1093,5;69,59
Мурманская область;430357,3;1 223 679 613,9;103,31;32615,75;40;1073,19;42
 Новгородская область;308181,2;616 504 098,3;103,92;44064,75;41,78;669,49;60
 Псковская область;230879;273 807 999,5;103,01;26110,75;37,89;584,3;51,6
 Город Санкт-Петербург город федерального значения;14406889,09;196 625 301,2;103,05;25453,25;42,82;3217,8;35,29
Республика Адыгея (Адыгея);126147,89;5 186 129 328,4;103,26;47534;43,14;351,8;47,9
 Республика Калмыкия;14213,3;131 125 774,9;102,5;29406,25;41,64;177,7;32,79
 Республика Крым;1136855,39;88 986 895,5;103,95;18456,25;40,8366666666667;1029,09;53,1
 Краснодарский край;6770411,8;475 525 339,9;103,09;22370,25;39,64;2304,79;55,1
Астраханская область;467259,7;2 577 131 143,3;103,11;36692,5;38,1566666666667;592;52,1
Волгоградская область;721792,5;601 811 216,1;103,07;24869,25;41,3633333333333;601,19;36
 Ростовская область;2880317,4;963 214 357,3;103,15;24080,5;40,48;887,3;62,2
 Город федерального значения Севастополь;625187,7;1 636 017 488,9;103,3;30849,25;39,0533333333333;2799;33,9
Республика Дагестан;1002756,3;137 919 357,6;103,28;30463,75;41,55;346,1;46,5
 Республика Ингушетия;8220,7;713 723 622,5;104,25;27519,5;41,3433333333333;39,79;71,4
Кабардино-Балкарская Республика;114038,5;73 791 541,6;103,38;16775,75;41,12;137,1;51,4
 Карачаево-Черкесская Республика;62388,3;171 544 721,2;104,32;21501;35,3366666666667;228,3;53
 Республика Северная Осетия-Алания;98402,8;91 430 025,1;103,37;18976,25;33,3933333333333;264,09;44,6
Чеченская Республика;480674,29;173 459 410,1;102,41;24479,75;31,9333333333333;345,7;87,6
 Ставропольский край;711163,3;241 643 396,7;103,3;24333,75;37,2466666666667;504,99;45,5
 Республика Башкортостан;1176580;829 223 900,3;103,61;24429;38,6133333333333;439,9;44,3
 Республика Марий Эл;334971,1;1 803 321 697,6;103,51;30554,25;38,4366666666667;845;47,8
 Республика Мордовия;67428,5;203 282 130,7;103,45;20862,75;28,87;216,8;28,8
 Республика Татарстан (Татарстан);2366071,7;262 760 569,9;102,36;19681,75;39,62;895,4;42,5
 Удмуртская Республика;1125505,89;2 808 753 275,1;103,15;35752,25;40,8866666666667;1174,3;60,4
 Чувашская Республика - Чувашия;286825,4;722 845 998,6;102,75;25012,75;39,4;430,5;45
 Кировская область;567349,69;339 490 413,5;102,64;20115,75;39,9666666666667;637,29;51,5
 Нижегородская область;2477513,3;1 496 401 415;103,48;30550,5;42,9433333333333;1285,7;45,4
Оренбургская область;585022,5;370 472 632,8;102,88;23593,5;40,2733333333333;422,1;52,1
 Пензенская область;519562,89;1 617 171 682,6;103,35;33812,75;39,5366666666667;633,9;46,3
