;Объем платной услуги;Валовый региональный продукт(ВРП);Индекс потребительских цен;Средний доход населения;Средний возраст населения;Расчет на душу населения;индекс физического объема в % соотношении к предыдущему году.
Субъекты;у;х1;х2;х3;х4;х5;х6
Белгородская область;7779308,2;955 329 249,4;103,18;32416,25;42,0033333333333;5483,7;102,9
 Брянская область;3757867,2;399 113 785,2;104,01;28330,75;42,1133333333333;3663,6;106,8
Владимирская область;3317824,3;535 493 361,4;103,07;25323;42,88;3529,3;80
 Воронежская область;7067922;1 001 790 281,3;103,23;31997,5;42,72;3557,6;95,5
 Ивановская область;2815394,9;254 968 880,4;103,32;25703,75;42,9966666666667;3691,8;80,9
Калужская область;5050481,5;549 755 818,5;103,06;31311,5;42,06;6491,2;94,6
 Костромская область;2002744,3;203 821 423,6;104,19;25240,25;42,08;3781,5;81,9
 Курская область;2139260,7;495 864 427,8;103,76;29108,5;42,5866666666667;3001,6;90,8
 Липецкая область;9491385,89;570 022 912,9;103,45;32468,5;42,3633333333333;8669,1;151,1
 Московская область;51009723,59;5 196 136 356,8;103,22;47798;40,5166666666667;7927,19;86,7
 Орловская область;3064587,2;266 655 649;103,76;26078,5;42,55;5003,49;82
 Рязанская область;2943383,2;436 417 665,1;103,68;26822,25;43,4766666666667;3875,9;83,1
 Смоленская область;3469072;349 237 634,9;102,72;27376,25;42,62;4060;87,9
 Тамбовская область;2299768,4;353 745 473,6;104,59;28026,75;43,8366666666667;3081,6;81
 Тверская область;2937852,2;488 367 456;102,64;27112,75;42,9766666666667;3882,8;90,5
 Тульская область;5131359;676 822 642,3;102,41;28438,25;43,5966666666667;4130,29;84,2
 Ярославская область;3905750,2;609 150 781,1;104,51;28596,75;42,4366666666667;5416,5;91,7
 Город Москва ;216653837,59;19 797 064 282,5;103,67;76080;41,3966666666667;22236,8;93,2
Республика Карелия;1897732,1;319 050 011,9;103,24;30754,5;41,5133333333333;5762,2;95,9
 Республика Коми;3122863;718 138 683,6;103,66;35220;41,9366666666667;5005,59;78,09
Ненецкий автономный округ (Архангельская область);52280,6;889 974 376,5;103,72;35606;39,52;2528,19;92,3
Архангельская область (кроме Ненецкого автономного округа);4083934,7;330 999 011,7;104,39;81301,25;41,5433333333333;5278,2;95,3
 Вологодская область;5070851,9;558 975 364,8;103,62;33785,75;36,2333333333333;5395,79;92,7
 Калининградская область;4299988,5;632 759 493,5;103,24;28329,75;41,78;6743,1;76,59
 Ленинградская область;5561789,4;520 951 191,3;103,42;29247,5;41,1233333333333;3493,2;93,4
Мурманская область;2963682;1 223 679 613,9;103,31;32615,75;40;4606,6;88,4
 Новгородская область;4280100,9;616 504 098,3;103,92;44064,75;41,78;7490,79;77,8
 Псковская область;1761671,1;273 807 999,5;103,01;26110,75;37,89;3327,39;82
 Город Санкт-Петербург город федерального значения;52626082,2;196 625 301,2;103,05;25453,25;42,82;13072,8;76
Республика Адыгея (Адыгея);721622,2;5 186 129 328,4;103,26;47534;43,14;2164,5;104,9
 Республика Калмыкия;192754,1;131 125 774,9;102,5;29406,25;41,64;1363,1;73,4
 Республика Крым;3210004,4;88 986 895,5;103,95;18456,25;40,8366666666667;5695,29;76,9
 Краснодарский край;55738823,09;475 525 339,9;103,09;22370,25;39,64;12884,8;87,2
Астраханская область;3534034,9;2 577 131 143,3;103,11;36692,5;38,1566666666667;4132;80,9
Волгоградская область;11715394,49;601 811 216,1;103,07;24869,25;41,3633333333333;5462,9;99,9
 Ростовская область;20641194,89;963 214 357,3;103,15;24080,5;40,48;6105,29;85,9
 Город федерального значения Севастополь;1780393,8;1 636 017 488,9;103,3;30849,25;39,0533333333333;6579,2;99,8
Республика Дагестан;10082262,19;137 919 357,6;103,28;30463,75;41,55;3194,4;99,2
 Республика Ингушетия;174474,2;713 723 622,5;104,25;27519,5;41,3433333333333;360,7;78,5
Кабардино-Балкарская Республика;1617319,6;73 791 541,6;103,38;16775,75;41,12;2914,9;102,7
 Карачаево-Черкесская Республика;1465170;171 544 721,2;104,32;21501;35,3366666666667;3351,39;100
 Республика Северная Осетия-Алания;1190856,2;91 430 025,1;103,37;18976,25;33,3933333333333;1904,79;88,7
Чеченская Республика;5340905,7;173 459 410,1;102,41;24479,75;31,9333333333333;3697,9;102
 Ставропольский край;14969176,4;241 643 396,7;103,3;24333,75;37,2466666666667;5274,5;113,8
 Республика Башкортостан;32047852,69;829 223 900,3;103,61;24429;38,6133333333333;8851,4;99
 Республика Марий Эл;1383702,8;1 803 321 697,6;103,51;30554,25;38,4366666666667;2464;82,2
 Республика Мордовия;1518069,2;203 282 130,7;103,45;20862,75;28,87;2690,2;102,5
 Республика Татарстан (Татарстан);18807244,19;262 760 569,9;102,36;19681,75;39,62;6037,7;91,1
 Удмуртская Республика;5367840,5;2 808 753 275,1;103,15;35752,25;40,8866666666667;6390;84,3
 Чувашская Республика - Чувашия;3465972,4;722 845 998,6;102,75;25012,75;39,4;3895,6;84,6
 Кировская область;5282142,4;339 490 413,5;102,64;20115,75;39,9666666666667;4701,4;117,5
 Нижегородская область;19092197,2;1 496 401 415;103,48;30550,5;42,9433333333333;7300,9;108
Оренбургская область;5202183,5;370 472 632,8;102,88;23593,5;40,2733333333333;3172,1;84,8
 Пензенская область;4212046,2;1 617 171 682,6;103,35;33812,75;39,5366666666667;4923,89;100,2
Самарская область;13628703,6;1 106 329 322,9;103,02;24458,75;40,6733333333333;4620;98,6
Саратовская область;6780411,1;448 521 114;102,91;22880,5;39,4666666666667;3446,9;110
 Ульяновская область;3892033,6;1 689 575 399,2;103,42;29405,5;42,8666666666667;4585,89;86,2
 Курганская область;1911936,5;809 822 627,1;102,9;22671,75;42,1733333333333;2814,1;86,1
Свердловская область;30398910,8;424 995 591;103,38;23627,5;39,8033333333333;8233,2;97,9
Тюменская область;21898079,49;236 825 785;103,79;21208;43,1766666666667;6212,1;84,8
 Ханты-Мансийский автономный округ - Югра (Тюменская область);8106796,29;2 535 215 024,4;104,08;39072,75;41,4466666666667;5213,7;77,2
Ямало-Ненецкий автономный округ (Тюменская область);3799521,6;8 952 460 437;102,55;49146,5;41,9433333333333;5888,99;86,3
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);9991761,6;4 558 879 763,6;102,26;53667,5;42,9066666666667;7420,49;92,2
 Челябинская область;16262397,49;3 158 827 619,5;101,08;84503,5;39,1966666666667;5394,79;101,3
Республика Алтай;448896,3;1 234 753 053,9;103,53;31587,25;41,7033333333333;3143,6;104,3
Республика Тыва;417894,5;1 547 518 039,7;103,2;25398;40,2766666666667;1800,1;102,6
 Республика Хакасия;754972,4;57 063 978,8;101,74;20317,25;36,52;3014;88,5
 Алтайский край;5854021;79 321 311,4;103,41;16694;35,7133333333333;2801,6;80,2
Красноярский край;9225209,3;256 322 293,9;103,92;22650,25;33,5566666666667;5025,49;85,7
Иркутская область;6955146,9;628 146 106,3;103,57;23912,25;37,7566666666667;4150,8;69,7
Кемеровская область - Кузбасс;10298477,59;2 696 158 902,9;104,08;31711,75;40,0233333333333;5163;100,4
Новосибирская область;18175766,39;1 540 237 816,6;104,47;26318,5;39,1933333333333;8671,7;86,1
Омская область;9430106,8;1 110 194 803,6;104,39;24813,5;34,5066666666667;6426,7;99,7
 Томская область;6895965,8;1 332 895 765,9;103,51;30592,25;29,86;5505,3;118,5
Республика Бурятия;3369835,5;772 095 892,9;103,86;26848,25;38,3233333333333;3479,1;143,9
 Забайкальский край;3361461,5;617 903 638,3;104,29;28404,75;40,81;4598,99;88,1
 Республика Саха (Якутия);2924068,6;285 490 577,1;104,6;25336,75;39,0266666666667;5003,89;78,8
Камчатский край;1334364,7;369 476 546,2;104,09;25676,25;37,62;4791,4;102
Приморский край;14447183,2;1 227 680 260;104,32;45645;40,2033333333333;11115,6;100,8
 Хабаровский край;8327837,4;279 337 843,3;102,81;52531,5;39,9;7546;90,1
 Амурская область;2464374,6;1 069 330 650;103,13;36818;39,7133333333333;3810;93,3
 Магаданская область;1401782;805 215 557,6;104,26;41368,75;38,9733333333333;9563,59;134,1
Сахалинская область;3887146,4;395 617 226;104,87;33237,75;37,8366666666667;10305,6;90,4
 Еврейская автономная область;558181,1;214 414 925,9;102,61;65116;36,0766666666667;4911,6;88,7
Чукотский автономный округ;239812,5;1 172 226 053,8;103,42;58932,5;34,8166666666667;4027;80,7
