;Объем платной услуги;Валовый региональный продукт(ВРП);Индекс потребительских цен;Средний доход населения;Средний возраст населения;Расчет на душу населения;индекс физического объема в % соотношении к предыдущему году.
Субъекты;у;х1;х2;х3;х4;х5;х6
Белгородская область;6829260,2;955 329 249,4;103,18;32416,25;42,0033333333333;4908,5;92,2
 Брянская область;3006478,4;399 113 785,2;104,01;28330,75;42,1133333333333;2864,5;78,3
Владимирская область;3436870,2;535 493 361,4;103,07;25323;42,88;3003,4;82,4
 Воронежская область;9295959,5;1 001 790 281,3;103,23;31997,5;42,72;4551,59;84,2
 Ивановская область;2513567,6;254 968 880,4;103,32;25703,75;42,9966666666667;2824;83,4
Калужская область;3139849,2;549 755 818,5;103,06;31311,5;42,06;3574;87,6
 Костромская область;976400,5;203 821 423,6;104,19;25240,25;42,08;1880,9;78,59
 Курская область;4308471,9;495 864 427,8;103,76;29108,5;42,5866666666667;4129,99;92,6
 Липецкая область;4232689,5;570 022 912,9;103,45;32468,5;42,3633333333333;4589,59;85,4
 Московская область;27393398,8;5 196 136 356,8;103,22;47798;40,5166666666667;5289,5;80,9
 Орловская область;2754799;266 655 649;103,76;26078,5;42,55;4111,29;88,2
 Рязанская область;3331528,9;436 417 665,1;103,68;26822,25;43,4766666666667;3291;92
 Смоленская область;2711762,2;349 237 634,9;102,72;27376,25;42,62;3151,9;83,4
 Тамбовская область;2729755,7;353 745 473,6;104,59;28026,75;43,8366666666667;3074,8;93
 Тверская область;3530984,2;488 367 456;102,64;27112,75;42,9766666666667;3073,5;84,7
 Тульская область;3308148;676 822 642,3;102,41;28438,25;43,5966666666667;2696,8;88,9
 Ярославская область;3451052,3;609 150 781,1;104,51;28596,75;42,4366666666667;3323,49;86,7
 Город Москва столица Российской Федерации город федерального значения;143017852,4;19 797 064 282,5;103,67;76080;41,3966666666667;13701,09;104,2
Республика Карелия;2305152,6;319 050 011,9;103,24;30754,5;41,5133333333333;4411,6;86,7
 Республика Коми;2629964,6;718 138 683,6;103,66;35220;41,9366666666667;3572,4;70
Ненецкий автономный округ (Архангельская область);107471,8;889 974 376,5;103,72;35606;39,52;2925,3;84,7
Архангельская область (кроме Ненецкого автономного округа);3340675,8;330 999 011,7;104,39;81301,25;41,5433333333333;3537;72,7
 Вологодская область;3827178,7;558 975 364,8;103,62;33785,75;36,2333333333333;3875,1;100,1
 Калининградская область;2974260;632 759 493,5;103,24;28329,75;41,78;3661;83,4
 Ленинградская область;3895125,7;520 951 191,3;103,42;29247,5;41,1233333333333;2567,39;74,3
Мурманская область;3271278,6;1 223 679 613,9;103,31;32615,75;40;5620,2;80,3
 Новгородская область;1742571,5;616 504 098,3;103,92;44064,75;41,78;3115,7;78,5
 Псковская область;1226294,9;273 807 999,5;103,01;26110,75;37,89;2225,7;83,3
 Город Санкт-Петербург город федерального значения;40168818,09;196 625 301,2;103,05;25453,25;42,82;9312,59;94,8
Республика Адыгея (Адыгея);1094886,69;5 186 129 328,4;103,26;47534;43,14;2484,69;82,7
 Республика Калмыкия;424635,4;131 125 774,9;102,5;29406,25;41,64;1885,7;84
 Республика Крым;5824025,7;88 986 895,5;103,95;18456,25;40,8366666666667;2954,2;111,8
 Краснодарский край;29360187,2;475 525 339,9;103,09;22370,25;39,64;9593,49;51,2
Астраханская область;3683770,5;2 577 131 143,3;103,11;36692,5;38,1566666666667;4055,9;94,3
Волгоградская область;10172868,5;601 811 216,1;103,07;24869,25;41,3633333333333;4633;78,2
 Ростовская область;18858871,49;963 214 357,3;103,15;24080,5;40,48;5206,7;86,9
 Город федерального значения Севастополь;2151208,59;1 636 017 488,9;103,3;30849,25;39,0533333333333;4130,89;95,2
Республика Дагестан;8710794,19;137 919 357,6;103,28;30463,75;41,55;2766,5;93,8
 Республика Ингушетия;775707,2;713 723 622,5;104,25;27519,5;41,3433333333333;1773,3;89,9
Кабардино-Балкарская Республика;1724029,9;73 791 541,6;103,38;16775,75;41,12;2422,4;92,2
 Карачаево-Черкесская Республика;1422465,1;171 544 721,2;104,32;21501;35,3366666666667;3203,5;87,2
 Республика Северная Осетия-Алания;1632216,8;91 430 025,1;103,37;18976,25;33,3933333333333;2690,6;93,3
Чеченская Республика;2788553,9;173 459 410,1;102,41;24479,75;31,9333333333333;2357;92,1
 Ставропольский край;10210269,89;241 643 396,7;103,3;24333,75;37,2466666666667;4353,9;80,09
 Республика Башкортостан;27105379,2;829 223 900,3;103,61;24429;38,6133333333333;6931,9;95,4
 Республика Марий Эл;1378232,1;1 803 321 697,6;103,51;30554,25;38,4366666666667;2371,5;85
 Республика Мордовия;1797449,39;203 282 130,7;103,45;20862,75;28,87;2616,9;94,8
 Республика Татарстан (Татарстан);25855861,39;262 760 569,9;102,36;19681,75;39,62;7541,8;85,8
 Удмуртская Республика;4446476,2;2 808 753 275,1;103,15;35752,25;40,8866666666667;4018,2;89,5
 Чувашская Республика - Чувашия;3128802,2;722 845 998,6;102,75;25012,75;39,4;3128,9;78,3
 Кировская область;3425807,6;339 490 413,5;102,64;20115,75;39,9666666666667;2870,5;87,9
 Нижегородская область;13621791,5;1 496 401 415;103,48;30550,5;42,9433333333333;4190,5;101,7
Оренбургская область;5498115,7;370 472 632,8;102,88;23593,5;40,2733333333333;3214,3;90,9
 Пензенская область;3419280,9;1 617 171 682,6;103,35;33812,75;39,5366666666667;3104,8;81,3
Самарская область;12580150,7;1 106 329 322,9;103,02;24458,75;40,6733333333333;4843,5;70,2
Саратовская область;8611634,69;448 521 114;102,91;22880,5;39,4666666666667;4152,59;86,3
 Ульяновская область;3321760,3;1 689 575 399,2;103,42;29405,5;42,8666666666667;2956;83,8
 Курганская область;1608918;809 822 627,1;102,9;22671,75;42,1733333333333;1997,4;75,4
Свердловская область;24304590,29;424 995 591;103,38;23627,5;39,8033333333333;6641,9;85,9
Тюменская область;14727288,59;236 825 785;103,79;21208;43,1766666666667;5307,2;79,8
 Ханты-Мансийский автономный округ - Югра (Тюменская область);5753418,6;2 535 215 024,4;104,08;39072,75;41,4466666666667;5055,89;80,5
Ямало-Ненецкий автономный округ (Тюменская область);1244199,8;8 952 460 437;102,55;49146,5;41,9433333333333;2928,6;69,2
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);7729670,2;4 558 879 763,6;102,26;53667,5;42,9066666666667;6427,2;80,3
 Челябинская область;10846089;3 158 827 619,5;101,08;84503,5;39,1966666666667;3538,6;92,9
Республика Алтай;369835,3;1 234 753 053,9;103,53;31587,25;41,7033333333333;1893,9;94,5
Республика Тыва;669550,9;1 547 518 039,7;103,2;25398;40,2766666666667;2738,7;79,5
 Республика Хакасия;1124351,39;57 063 978,8;101,74;20317,25;36,52;2254;90,1
 Алтайский край;5494143,6;79 321 311,4;103,41;16694;35,7133333333333;2644,1;88,9
Красноярский край;8303248,1;256 322 293,9;103,92;22650,25;33,5566666666667;3291,5;84,5
Иркутская область;6959986,69;628 146 106,3;103,57;23912,25;37,7566666666667;3637,39;80
Кемеровская область - Кузбасс;7535439;2 696 158 902,9;104,08;31711,75;40,0233333333333;3160,4;85,7
Новосибирская область;10958430,09;1 540 237 816,6;104,47;26318,5;39,1933333333333;4684,6;89,4
Омская область;7427875,99;1 110 194 803,6;104,39;24813,5;34,5066666666667;4597,2;85
 Томская область;4001200,7;1 332 895 765,9;103,51;30592,25;29,86;3931;90,9
Республика Бурятия;2726202,2;772 095 892,9;103,86;26848,25;38,3233333333333;3126,7;82,7
 Забайкальский край;3401434,4;617 903 638,3;104,29;28404,75;40,81;3907,3;82,7
 Республика Саха (Якутия);4686312,59;285 490 577,1;104,6;25336,75;39,0266666666667;5491,2;70,2
Камчатский край;1032267,7;369 476 546,2;104,09;25676,25;37,62;3528,7;75,8
Приморский край;8277847,3;1 227 680 260;104,32;45645;40,2033333333333;5741,79;84,1
 Хабаровский край;6584676,6;279 337 843,3;102,81;52531,5;39,9;5621,8;65,59
 Амурская область;3278564,9;1 069 330 650;103,13;36818;39,7133333333333;4590,29;82,4
 Магаданская область;584583,6;805 215 557,6;104,26;41368,75;38,9733333333333;4912,29;76,3
Сахалинская область;2418835,7;395 617 226;104,87;33237,75;37,8366666666667;5360,4;80,9
 Еврейская автономная область;489323,2;214 414 925,9;102,61;65116;36,0766666666667;3712,2;80,3
Чукотский автономный округ;203572;1 172 226 053,8;103,42;58932,5;34,8166666666667;4038,7;71,09
