;Объем платной услуги;Валовый региональный продукт(ВРП);Индекс потребительских цен;Средний доход населения;Средний возраст населения;Расчет на душу населения;индекс физического объема в % соотношении к предыдущему году.
Субъекты;у;х1;х2;х3;х4;х5;х6
Белгородская область;87529650,09;955 329 249,4;103,18;32416,25;42,0033333333333;62557,1;94,5
 Брянская область;52843557,7;399 113 785,2;104,01;28330,75;42,1133333333333;51133,9;90
Владимирская область;68586043,59;535 493 361,4;103,07;25323;42,88;57194,5;91,1
 Воронежская область;116327296,69;1 001 790 281,3;103,23;31997,5;42,72;58255;81,7
 Ивановская область;41383312,2;254 968 880,4;103,32;25703,75;42,9966666666667;46602,99;88,3
Калужская область;49973953,09;549 755 818,5;103,06;31311,5;42,06;58146,9;90,9
 Костромская область;26809623,1;203 821 423,6;104,19;25240,25;42,08;48159,2;91
 Курская область;52997499,39;495 864 427,8;103,76;29108,5;42,5866666666667;54150,6;90
 Липецкая область;68212304,09;570 022 912,9;103,45;32468,5;42,3633333333333;67719,5;93,5
 Московская область;499418213,2;5 196 136 356,8;103,22;47798;40,5166666666667;79421,99;84,9
 Орловская область;33863967,19;266 655 649;103,76;26078,5;42,55;53425,39;87,9
 Рязанская область;50020950,39;436 417 665,1;103,68;26822,25;43,4766666666667;53657,1;93
 Смоленская область;33825299,2;349 237 634,9;102,72;27376,25;42,62;43133,49;87,8
 Тамбовская область;47656916,99;353 745 473,6;104,59;28026,75;43,8366666666667;52172,8;87,4
 Тверская область;56190082,39;488 367 456;102,64;27112,75;42,9766666666667;51746,2;92,7
 Тульская область;72196679,89;676 822 642,3;102,41;28438,25;43,5966666666667;56797,39;91,7
 Ярославская область;59913725,89;609 150 781,1;104,51;28596,75;42,4366666666667;58383,8;90
 Город Москва;1707048051,4;19 797 064 282,5;103,67;76080;41,3966666666667;183095,7;78,09
Республика Карелия;35762673,39;319 050 011,9;103,24;30754,5;41,5133333333333;72985,89;92,9
 Республика Коми;46904125,09;718 138 683,6;103,66;35220;41,9366666666667;65466,4;82,8
Ненецкий автономный округ (Архангельская область);3043582,9;889 974 376,5;103,72;35606;39,52;73412,29;89,4
Архангельская область (кроме Ненецкого автономного округа);61490955,7;330 999 011,7;104,39;81301,25;41,5433333333333;68022,79;79,5
 Вологодская область;62700855,59;558 975 364,8;103,62;33785,75;36,2333333333333;62333;94,8
