;Объем платной услуги;Валовый региональный продукт(ВРП);Индекс потребительских цен;Средний доход населения;Средний возраст населения;Расчет на душу населения;индекс физического объема в % соотношении к предыдущему году.
Субъекты;у;х1;х2;х3;х4;х5;х6
Белгородская область;2872950,7;955 329 249,4;103,18;32416,25;42,0033333333333;1931;97,4
 Брянская область;1253709,9;399 113 785,2;104,01;28330,75;42,1133333333333;1161,59;67
Владимирская область;1246143,6;535 493 361,4;103,07;25323;42,88;1119,1;88,5
 Воронежская область;1282164,2;1 001 790 281,3;103,23;31997,5;42,72;702,59;76,2
 Ивановская область;1210273,29;254 968 880,4;103,32;25703,75;42,9966666666667;1341,7;91,3
Калужская область;886883,3;549 755 818,5;103,06;31311,5;42,06;971;81,2
 Костромская область;509341,3;203 821 423,6;104,19;25240,25;42,08;837;87,7
 Курская область;369079,2;495 864 427,8;103,76;29108,5;42,5866666666667;400,3;86,9
 Липецкая область;2065303,6;570 022 912,9;103,45;32468,5;42,3633333333333;2015,3;85,9
 Московская область;16887238,89;5 196 136 356,8;103,22;47798;40,5166666666667;3115,6;84,6
 Орловская область;1211541,7;266 655 649;103,76;26078,5;42,55;1807,7;86,5
 Рязанская область;635317,2;436 417 665,1;103,68;26822,25;43,4766666666667;705,7;79,7
 Смоленская область;460854;349 237 634,9;102,72;27376,25;42,62;648,7;90
 Тамбовская область;945138,5;353 745 473,6;104,59;28026,75;43,8366666666667;1016,2;83,5
 Тверская область;1381989;488 367 456;102,64;27112,75;42,9766666666667;1390,8;79,4
 Тульская область;2624908,9;676 822 642,3;102,41;28438,25;43,5966666666667;2191,6;79,9
 Ярославская область;1189017,5;609 150 781,1;104,51;28596,75;42,4366666666667;1710,8;83,6
 Город Москва;86465932,3;19 797 064 282,5;103,67;76080;41,3966666666667;12847,8;90,3
Республика Карелия;375410,5;319 050 011,9;103,24;30754,5;41,5133333333333;812,6;82,5
 Республика Коми;828916,6;718 138 683,6;103,66;35220;41,9366666666667;1240,3;80,9
Ненецкий автономный округ (Архангельская область);264948,2;889 974 376,5;103,72;35606;39,52;6273,3;75,3
Архангельская область (кроме Ненецкого автономного округа);3536368,5;330 999 011,7;104,39;81301,25;41,5433333333333;3634,6;84,5
 Вологодская область;1187781,1;558 975 364,8;103,62;33785,75;36,2333333333333;1096,2;86,5
 Калининградская область;1915558,4;632 759 493,5;103,24;28329,75;41,78;2599,5;87,9
 Ленинградская область;1214756,8;520 951 191,3;103,42;29247,5;41,1233333333333;981,09;84,2
Мурманская область;1114563,8;1 223 679 613,9;103,31;32615,75;40;1924,8;87,5
 Новгородская область;1031759,69;616 504 098,3;103,92;44064,75;41,78;2138,5;81,4
 Псковская область;683604,9;273 807 999,5;103,01;26110,75;37,89;1229,3;73,3
 Город Санкт-Петербург город федерального значения;9247198,8;196 625 301,2;103,05;25453,25;42,82;4060,1;79,59
Республика Адыгея (Адыгея);147679,7;5 186 129 328,4;103,26;47534;43,14;676,9;72,5
 Республика Калмыкия;35566,8;131 125 774,9;102,5;29406,25;41,64;196,6;77,8
 Республика Крым;6058651,6;88 986 895,5;103,95;18456,25;40,8366666666667;5483,6;116
 Краснодарский край;14448767,8;475 525 339,9;103,09;22370,25;39,64;3622,1;86,1
Астраханская область;798976,2;2 577 131 143,3;103,11;36692,5;38,1566666666667;940,7;71
Волгоградская область;7688577,3;601 811 216,1;103,07;24869,25;41,3633333333333;3409,2;92,3
 Ростовская область;7045345,69;963 214 357,3;103,15;24080,5;40,48;2148,59;89,5
 Город федерального значения Севастополь;2606727,5;1 636 017 488,9;103,3;30849,25;39,0533333333333;6045,3;106,8
Республика Дагестан;5710720;137 919 357,6;103,28;30463,75;41,55;1930,9;94,1
 Республика Ингушетия;216152,7;713 723 622,5;104,25;27519,5;41,3433333333333;429,9;86,2
Кабардино-Балкарская Республика;1935380,49;73 791 541,6;103,38;16775,75;41,12;1534,4;106,1
 Карачаево-Черкесская Республика;758205;171 544 721,2;104,32;21501;35,3366666666667;1684,9;93,7
 Республика Северная Осетия-Алания;1039751,49;91 430 025,1;103,37;18976,25;33,3933333333333;1652,7;110,7
Чеченская Республика;2117842,9;173 459 410,1;102,41;24479,75;31,9333333333333;1582,9;91,3
 Ставропольский край;2052035,7;241 643 396,7;103,3;24333,75;37,2466666666667;997,8;66
 Республика Башкортостан;8029077,69;829 223 900,3;103,61;24429;38,6133333333333;2100,5;66,2
 Республика Марий Эл;416592,8;1 803 321 697,6;103,51;30554,25;38,4366666666667;673;79,2
 Республика Мордовия;373991,3;203 282 130,7;103,45;20862,75;28,87;495,9;100
 Республика Татарстан (Татарстан);7906931,29;262 760 569,9;102,36;19681,75;39,62;1983,1;87,6
 Удмуртская Республика;1370384,2;2 808 753 275,1;103,15;35752,25;40,8866666666667;1213,09;81,7
 Чувашская Республика - Чувашия;1022358,3;722 845 998,6;102,75;25012,75;39,4;990,1;86,6
 Кировская область;1420410,7;339 490 413,5;102,64;20115,75;39,9666666666667;1304,8;78
 Нижегородская область;3307261,5;1 496 401 415;103,48;30550,5;42,9433333333333;1560,2;69
Оренбургская область;2169825,1;370 472 632,8;102,88;23593,5;40,2733333333333;1210;87,5
 Пензенская область;1403358;1 617 171 682,6;103,35;33812,75;39,5366666666667;1160,89;88,8
Самарская область;4861980,9;1 106 329 322,9;103,02;24458,75;40,6733333333333;2388,1;60,9
Саратовская область;1858145,4;448 521 114;102,91;22880,5;39,4666666666667;907,6;90,3
 Ульяновская область;687411,5;1 689 575 399,2;103,42;29405,5;42,8666666666667;668,2;93,6
 Курганская область;598921,4;809 822 627,1;102,9;22671,75;42,1733333333333;696,4;69,59
Свердловская область;3920517,09;424 995 591;103,38;23627,5;39,8033333333333;1508,9;78,7
Тюменская область;4594375,4;236 825 785;103,79;21208;43,1766666666667;1630,8;74,5
 Ханты-Мансийский автономный округ - Югра (Тюменская область);1823279,49;2 535 215 024,4;104,08;39072,75;41,4466666666667;1474,4;80
Ямало-Ненецкий автономный округ (Тюменская область);728958;8 952 460 437;102,55;49146,5;41,9433333333333;1685,8;61,3
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);2042137,89;4 558 879 763,6;102,26;53667,5;42,9066666666667;1782,7;75,59
 Челябинская область;2620410,6;3 158 827 619,5;101,08;84503,5;39,1966666666667;998;85,8
Республика Алтай;217485,79;1 234 753 053,9;103,53;31587,25;41,7033333333333;1382,6;102
Республика Тыва;247823,1;1 547 518 039,7;103,2;25398;40,2766666666667;747,8;84,3
 Республика Хакасия;453484,7;57 063 978,8;101,74;20317,25;36,52;1156,3;81,4
 Алтайский край;3374002,2;79 321 311,4;103,41;16694;35,7133333333333;1554,69;94,7
Красноярский край;11255191,6;256 322 293,9;103,92;22650,25;33,5566666666667;5110;92,6
Иркутская область;2510415,4;628 146 106,3;103,57;23912,25;37,7566666666667;1357,6;97,3
Кемеровская область - Кузбасс;2015720,4;2 696 158 902,9;104,08;31711,75;40,0233333333333;908,5;88,5
Новосибирская область;3451934,59;1 540 237 816,6;104,47;26318,5;39,1933333333333;1941;85,9
Омская область;4640331,09;1 110 194 803,6;104,39;24813,5;34,5066666666667;3106,7;76,9
 Томская область;1283148,2;1 332 895 765,9;103,51;30592,25;29,86;1335,9;95,5
Республика Бурятия;1172754,19;772 095 892,9;103,86;26848,25;38,3233333333333;1152,5;73,8
 Забайкальский край;706903,8;617 903 638,3;104,29;28404,75;40,81;700,1;93,6
 Республика Саха (Якутия);5191676,6;285 490 577,1;104,6;25336,75;39,0266666666667;5563,4;66,3
Камчатский край;291976,59;369 476 546,2;104,09;25676,25;37,62;1603,7;86
Приморский край;5581146,5;1 227 680 260;104,32;45645;40,2033333333333;3686,7;72,2
 Хабаровский край;2762852,7;279 337 843,3;102,81;52531,5;39,9;2306,8;70,7
 Амурская область;1011188,8;1 069 330 650;103,13;36818;39,7133333333333;1606,1;86,1
 Магаданская область;88492,8;805 215 557,6;104,26;41368,75;38,9733333333333;796,9;94,7
Сахалинская область;573746,9;395 617 226;104,87;33237,75;37,8366666666667;1297,59;76
 Еврейская автономная область;209483,9;214 414 925,9;102,61;65116;36,0766666666667;1510,6;101,2
Чукотский автономный округ;221498,7;1 172 226 053,8;103,42;58932,5;34,8166666666667;4383,6;50,4
