;Объем платной услуги;Валовый региональный продукт(ВРП);Индекс потребительских цен;Средний доход населения;Средний возраст населения;Расчет на душу населения;индекс физического объема в % соотношении к предыдущему году.
Субъекты;у;х1;х2;х3;х4;х5;х6
Белгородская область;10661202,8;955 329 249,4;103,18;32416,25;42,0033333333333;7174,3;98,2
 Брянская область;9949480,4;399 113 785,2;104,01;28330,75;42,1133333333333;8708,79;95,2
Владимирская область;10431999,59;535 493 361,4;103,07;25323;42,88;7972,79;95,6
 Воронежская область;17026479;1 001 790 281,3;103,23;31997,5;42,72;7511,9;92,5
 Ивановская область;6140820,9;254 968 880,4;103,32;25703,75;42,9966666666667;6249,3;88,2
Калужская область;8344525,8;549 755 818,5;103,06;31311,5;42,06;8518,5;91,2
 Костромская область;5084149,4;203 821 423,6;104,19;25240,25;42,08;8579,9;97,3
 Курская область;7710723,8;495 864 427,8;103,76;29108,5;42,5866666666667;7342;91,7
 Липецкая область;10200801,09;570 022 912,9;103,45;32468,5;42,3633333333333;9427,7;94,3
 Московская область;30923932,8;5 196 136 356,8;103,22;47798;40,5166666666667;4182,89;89,1
 Орловская область;5674954,1;266 655 649;103,76;26078,5;42,55;8007,4;93,7
 Рязанская область;10060443,4;436 417 665,1;103,68;26822,25;43,4766666666667;9472,29;96,5
 Смоленская область;6600880,8;349 237 634,9;102,72;27376,25;42,62;7420,99;89,1
 Тамбовская область;6798925,8;353 745 473,6;104,59;28026,75;43,8366666666667;7084,4;95,9
 Тверская область;9477503,69;488 367 456;102,64;27112,75;42,9766666666667;7692;98,3
 Тульская область;11575203,5;676 822 642,3;102,41;28438,25;43,5966666666667;8231,29;90,9
 Ярославская область;8942105,1;609 150 781,1;104,51;28596,75;42,4366666666667;7159;91,8
 Город Москва столица Российской Федерации город федерального значения;280959612,29;19 797 064 282,5;103,67;76080;41,3966666666667;23187,19;94,8
Республика Карелия;6352300,8;319 050 011,9;103,24;30754,5;41,5133333333333;10645,4;95,1
 Республика Коми;7606952,69;718 138 683,6;103,66;35220;41,9366666666667;9366;95,7
Ненецкий автономный округ (Архангельская область);289298,1;889 974 376,5;103,72;35606;39,52;4796,4;93,1
Архангельская область (кроме Ненецкого автономного округа);9821651,3;330 999 011,7;104,39;81301,25;41,5433333333333;9281,4;92,9
 Вологодская область;8997116;558 975 364,8;103,62;33785,75;36,2333333333333;8018,79;98,3
 Калининградская область;8946829,69;632 759 493,5;103,24;28329,75;41,78;9199,4;99,9
 Ленинградская область;2950793,4;520 951 191,3;103,42;29247,5;41,1233333333333;1580;102,4
Мурманская область;8331010,69;1 223 679 613,9;103,31;32615,75;40;11487,2;94,7
 Новгородская область;4362698,59;616 504 098,3;103,92;44064,75;41,78;7576,6;96,2
 Псковская область;4281713,49;273 807 999,5;103,01;26110,75;37,89;7117,8;99,4
 Город Санкт-Петербург город федерального значения;99276035,59;196 625 301,2;103,05;25453,25;42,82;18329,5;95,4
Республика Адыгея (Адыгея);2744473,6;5 186 129 328,4;103,26;47534;43,14;6208,9;101,1
 Республика Калмыкия;1652208,6;131 125 774,9;102,5;29406,25;41,64;5666,7;97,4
 Республика Крым;7156033,79;88 986 895,5;103,95;18456,25;40,8366666666667;3895,8;101,4
 Краснодарский край;68412532,8;475 525 339,9;103,09;22370,25;39,64;12460,4;99,9
Астраханская область;7203863,3;2 577 131 143,3;103,11;36692,5;38,1566666666667;7193,9;98,9
Волгоградская область;22001391,9;601 811 216,1;103,07;24869,25;41,3633333333333;8874,7;93,8
 Ростовская область;34089935,59;963 214 357,3;103,15;24080,5;40,48;8389,9;93,7
 Город федерального значения Севастополь;2768368,6;1 636 017 488,9;103,3;30849,25;39,0533333333333;5648,9;112,2
Республика Дагестан;17650617,69;137 919 357,6;103,28;30463,75;41,55;5675,5;99,9
 Республика Ингушетия;1685935,9;713 723 622,5;104,25;27519,5;41,3433333333333;2954,3;93,5
Кабардино-Балкарская Республика;6383618,1;73 791 541,6;103,38;16775,75;41,12;6796,1;102,1
 Карачаево-Черкесская Республика;2708700,8;171 544 721,2;104,32;21501;35,3366666666667;5726,5;94,3
 Республика Северная Осетия-Алания;5946429,2;91 430 025,1;103,37;18976,25;33,3933333333333;8381,09;99,7
Чеченская Республика;8241540,69;173 459 410,1;102,41;24479,75;31,9333333333333;5575,5;92,8
 Ставропольский край;19564384,7;241 643 396,7;103,3;24333,75;37,2466666666667;7297,4;96,9
 Республика Башкортостан;34303986,4;829 223 900,3;103,61;24429;38,6133333333333;8948,3;97,9
 Республика Марий Эл;4578060,2;1 803 321 697,6;103,51;30554,25;38,4366666666667;6844,5;104,1
 Республика Мордовия;4753419,8;203 282 130,7;103,45;20862,75;28,87;6066,2;96,5
 Республика Татарстан (Татарстан);28893771,5;262 760 569,9;102,36;19681,75;39,62;7650,3;94,4
 Удмуртская Республика;9225832,8;2 808 753 275,1;103,15;35752,25;40,8866666666667;6442,2;96,2
 Чувашская Республика - Чувашия;8386143,49;722 845 998,6;102,75;25012,75;39,4;7167,7;98,1
 Кировская область;8864154,6;339 490 413,5;102,64;20115,75;39,9666666666667;7150,4;97,5
 Нижегородская область;25010659,8;1 496 401 415;103,48;30550,5;42,9433333333333;8070,59;91,4
Оренбургская область;15116801,49;370 472 632,8;102,88;23593,5;40,2733333333333;7845,3;98,8
 Пензенская область;10040019,89;1 617 171 682,6;103,35;33812,75;39,5366666666667;8073,1;95,5
Самарская область;27034303,6;1 106 329 322,9;103,02;24458,75;40,6733333333333;8554,4;93,7
Саратовская область;18823734,6;448 521 114;102,91;22880,5;39,4666666666667;7871,6;93
 Ульяновская область;8734039,19;1 689 575 399,2;103,42;29405,5;42,8666666666667;7250,5;91
 Курганская область;5154557,5;809 822 627,1;102,9;22671,75;42,1733333333333;6788,6;95,9
Свердловская область;38846581,99;424 995 591;103,38;23627,5;39,8033333333333;9270;99,1
Тюменская область;48357650,5;236 825 785;103,79;21208;43,1766666666667;13309,89;89,7
 Ханты-Мансийский автономный округ - Югра (Тюменская область);24359617,1;2 535 215 024,4;104,08;39072,75;41,4466666666667;15162,7;87,5
Ямало-Ненецкий автономный округ (Тюменская область);8139095,6;8 952 460 437;102,55;49146,5;41,9433333333333;14876,4;94,1
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);15858937,8;4 558 879 763,6;102,26;53667,5;42,9066666666667;10725,2;92,8
 Челябинская область;25049636,7;3 158 827 619,5;101,08;84503,5;39,1966666666667;7564,1;97,6
Республика Алтай;1183976,5;1 234 753 053,9;103,53;31587,25;41,7033333333333;5678,79;101,3
Республика Тыва;1507421,7;1 547 518 039,7;103,2;25398;40,2766666666667;4473;97,4
 Республика Хакасия;4302494,99;57 063 978,8;101,74;20317,25;36,52;8295,29;105,6
 Алтайский край;18412814,79;79 321 311,4;103,41;16694;35,7133333333333;8118;98,7
Красноярский край;24203059,1;256 322 293,9;103,92;22650,25;33,5566666666667;8667,8;93,3
Иркутская область;18551563,69;628 146 106,3;103,57;23912,25;37,7566666666667;8013,8;91,5
Кемеровская область - Кузбасс;21875081,49;2 696 158 902,9;104,08;31711,75;40,0233333333333;8675,6;96,7
Новосибирская область;28381540,49;1 540 237 816,6;104,47;26318,5;39,1933333333333;10470,59;93,2
Омская область;12551219,4;1 110 194 803,6;104,39;24813,5;34,5066666666667;7033,9;95,9
 Томская область;8595496,19;1 332 895 765,9;103,51;30592,25;29,86;7508,2;87,4
Республика Бурятия;7851400,79;772 095 892,9;103,86;26848,25;38,3233333333333;7884,1;97,2
 Забайкальский край;9757136,7;617 903 638,3;104,29;28404,75;40,81;9962,59;94,8
 Республика Саха (Якутия);12155703,9;285 490 577,1;104,6;25336,75;39,0266666666667;12787,4;96,9
Камчатский край;5621678,3;369 476 546,2;104,09;25676,25;37,62;16201,89;102
Приморский край;19725156,7;1 227 680 260;104,32;45645;40,2033333333333;10587;95,5
 Хабаровский край;18051128,19;279 337 843,3;102,81;52531,5;39,9;13938,99;92
 Амурская область;8173674,4;1 069 330 650;103,13;36818;39,7133333333333;10907;101,6
 Магаданская область;2194685;805 215 557,6;104,26;41368,75;38,9733333333333;15834,99;100,2
Сахалинская область;6397673,8;395 617 226;104,87;33237,75;37,8366666666667;12352,59;96,1
 Еврейская автономная область;1047527,49;214 414 925,9;102,61;65116;36,0766666666667;6853,8;95,2
Чукотский автономный округ;727176,7;1 172 226 053,8;103,42;58932,5;34,8166666666667;14095,7;98,7
