;Объем платной услуги;Валовый региональный продукт(ВРП);Индекс потребительских цен;Средний доход населения;Средний возраст населения;Расчет на душу населения;индекс физического объема в % соотношении к предыдущему году.
Субъекты;у;х1;х2;х3;х4;х5;х6
Белгородская область;10231606,1;955 329 249,4;103,18;32416,25;42,0033333333333;7215,9;87,9
 Брянская область;5490080,1;399 113 785,2;104,01;28330,75;42,1133333333333;5555,7;80,4
Владимирская область;8211246,4;535 493 361,4;103,07;25323;42,88;6453,8;75,8
 Воронежская область;14454215,6;1 001 790 281,3;103,23;31997,5;42,72;8567,7;49,5
 Ивановская область;3549819,2;254 968 880,4;103,32;25703,75;42,9966666666667;4204,09;71,8
Калужская область;2943839,6;549 755 818,5;103,06;31311,5;42,06;3458,8;72,2
 Костромская область;2885316,5;203 821 423,6;104,19;25240,25;42,08;5044,1;84,3
 Курская область;7774681,4;495 864 427,8;103,76;29108,5;42,5866666666667;7918,99;80,59
 Липецкая область;7274361,5;570 022 912,9;103,45;32468,5;42,3633333333333;7676,8;82,4
 Московская область;34185080,19;5 196 136 356,8;103,22;47798;40,5166666666667;5889,69;72,8
 Орловская область;2432137,9;266 655 649;103,76;26078,5;42,55;4554,89;70,4
 Рязанская область;1897328,5;436 417 665,1;103,68;26822,25;43,4766666666667;2484,89;63,3
 Смоленская область;1868937,4;349 237 634,9;102,72;27376,25;42,62;2713,9;61,5
 Тамбовская область;8295959,6;353 745 473,6;104,59;28026,75;43,8366666666667;8231,09;75,5
 Тверская область;5255646,5;488 367 456;102,64;27112,75;42,9766666666667;4995,09;103,1
 Тульская область;6206504,8;676 822 642,3;102,41;28438,25;43,5966666666667;5225;82
 Ярославская область;4717735,59;609 150 781,1;104,51;28596,75;42,4366666666667;4796,1;67,8
 Город Москва ;443904794,6;19 797 064 282,5;103,67;76080;41,3966666666667;58823,9;53,9
Республика Карелия;3872963,2;319 050 011,9;103,24;30754,5;41,5133333333333;7749,59;82,5
 Республика Коми;4198706,39;718 138 683,6;103,66;35220;41,9366666666667;6490,1;53,7
Ненецкий автономный округ (Архангельская область);621158,4;889 974 376,5;103,72;35606;39,52;14481,7;95,1
Архангельская область (кроме Ненецкого автономного округа);7665219,19;330 999 011,7;104,39;81301,25;41,5433333333333;9424,1;47
 Вологодская область;6632965,8;558 975 364,8;103,62;33785,75;36,2333333333333;6903,69;78,3
 Калининградская область;6435188,9;632 759 493,5;103,24;28329,75;41,78;9015,99;57
 Ленинградская область;8899137,3;520 951 191,3;103,42;29247,5;41,1233333333333;5959,6;87,7
Мурманская область;5248995,1;1 223 679 613,9;103,31;32615,75;40;10806,9;71,3
 Новгородская область;2278747,5;616 504 098,3;103,92;44064,75;41,78;4670,3;61,2
 Псковская область;2974727,2;273 807 999,5;103,01;26110,75;37,89;5758,4;79,9
 Город Санкт-Петербург город федерального значения;59579831,09;196 625 301,2;103,05;25453,25;42,82;16876,69;69,09
Республика Адыгея (Адыгея);521249,2;5 186 129 328,4;103,26;47534;43,14;1346,69;84,2
 Республика Калмыкия;340346,8;131 125 774,9;102,5;29406,25;41,64;1771,1;83
 Республика Крым;4954914;88 986 895,5;103,95;18456,25;40,8366666666667;3358,59;84,5
 Краснодарский край;73692878,19;475 525 339,9;103,09;22370,25;39,64;16854,09;83,3
Астраханская область;2469858,79;2 577 131 143,3;103,11;36692,5;38,1566666666667;2938,1;67,5
Волгоградская область;15758971,3;601 811 216,1;103,07;24869,25;41,3633333333333;7088,1;69,4
 Ростовская область;24565079,79;963 214 357,3;103,15;24080,5;40,48;7927,9;77,09
 Город федерального значения Севастополь;2007531,5;1 636 017 488,9;103,3;30849,25;39,0533333333333;4572,89;79,59
Республика Дагестан;28341349,3;137 919 357,6;103,28;30463,75;41,55;9322,7;78,3
 Республика Ингушетия;1901202,4;713 723 622,5;104,25;27519,5;41,3433333333333;4074,8;77,8
Кабардино-Балкарская Республика;3533603,7;73 791 541,6;103,38;16775,75;41,12;5475,6;99,2
 Карачаево-Черкесская Республика;815499,3;171 544 721,2;104,32;21501;35,3366666666667;2067,8;76,4
 Республика Северная Осетия-Алания;4496459,5;91 430 025,1;103,37;18976,25;33,3933333333333;7163,6;75,5
Чеченская Республика;9824031,7;173 459 410,1;102,41;24479,75;31,9333333333333;6762,1;89,5
 Ставропольский край;14575156,6;241 643 396,7;103,3;24333,75;37,2466666666667;7269,6;72,4
 Республика Башкортостан;19909295,3;829 223 900,3;103,61;24429;38,6133333333333;5128,6;41,5
 Республика Марий Эл;1238856;1 803 321 697,6;103,51;30554,25;38,4366666666667;2243,9;61
 Республика Мордовия;2345939,29;203 282 130,7;103,45;20862,75;28,87;3742,49;74,5
 Республика Татарстан (Татарстан);44689886;262 760 569,9;102,36;19681,75;39,62;14241,4;88,5
 Удмуртская Республика;6133811,4;2 808 753 275,1;103,15;35752,25;40,8866666666667;5598,5;74,4
 Чувашская Республика - Чувашия;5648660,8;722 845 998,6;102,75;25012,75;39,4;5752,2;80
 Кировская область;5469282;339 490 413,5;102,64;20115,75;39,9666666666667;4736,89;75,59
 Нижегородская область;12900163,99;1 496 401 415;103,48;30550,5;42,9433333333333;5547,5;74,4
Оренбургская область;11277698,99;370 472 632,8;102,88;23593,5;40,2733333333333;6725,6;87,9
 Пензенская область;5750652,2;1 617 171 682,6;103,35;33812,75;39,5366666666667;5034,5;76,5
Самарская область;14887155,59;1 106 329 322,9;103,02;24458,75;40,6733333333333;5781,7;78
Саратовская область;9034891,6;448 521 114;102,91;22880,5;39,4666666666667;4613,9;81,2
