;Объем платной услуги;Валовый региональный продукт(ВРП);Индекс потребительских цен;Средний доход населения;Средний возраст населения;Расчет на душу населения;индекс физического объема в % соотношении к предыдущему году.
Субъекты;у;х1;х2;х3;х4;х5;х6
Белгородская область;980704,8;955 329 249,4;103,18;32416,25;42,0033333333333;646,7;85,5
 Брянская область;386362,5;399 113 785,2;104,01;28330,75;42,1133333333333;497,6;71
Владимирская область;1013766,69;535 493 361,4;103,07;25323;42,88;1016,9;76,9
 Воронежская область;952405,4;1 001 790 281,3;103,23;31997,5;42,72;584,5;73,09
 Ивановская область;299130,9;254 968 880,4;103,32;25703,75;42,9966666666667;510,6;54,9
Калужская область;1036845,19;549 755 818,5;103,06;31311,5;42,06;1423,8;68,09
 Костромская область;331278,3;203 821 423,6;104,19;25240,25;42,08;936;81,59
 Курская область;350043,1;495 864 427,8;103,76;29108,5;42,5866666666667;426,7;70,2
 Липецкая область;591206,3;570 022 912,9;103,45;32468,5;42,3633333333333;756,4;73,7
 Московская область;9114828,6;5 196 136 356,8;103,22;47798;40,5166666666667;2035;95,6
 Орловская область;250199,59;266 655 649;103,76;26078,5;42,55;500,19;70,59
 Рязанская область;606478;436 417 665,1;103,68;26822,25;43,4766666666667;1288;78,7
 Смоленская область;275067,9;349 237 634,9;102,72;27376,25;42,62;486,9;58,2
 Тамбовская область;414254,7;353 745 473,6;104,59;28026,75;43,8366666666667;580,7;80,9
 Тверская область;1863273,29;488 367 456;102,64;27112,75;42,9766666666667;1914,9;75,2
 Тульская область;679210,9;676 822 642,3;102,41;28438,25;43,5966666666667;811,2;72,2
 Ярославская область;1436656,1;609 150 781,1;104,51;28596,75;42,4366666666667;1863,1;80,09
 Город Москва столица Российской Федерации город федерального значения;27853763,7;19 797 064 282,5;103,67;76080;41,3966666666667;3749;52,2
Республика Карелия;738018,4;319 050 011,9;103,24;30754,5;41,5133333333333;3468,2;105
 Республика Коми;377549,7;718 138 683,6;103,66;35220;41,9366666666667;616,4;68,5
