\u041c\u0435\u0434\u0438\u0446\u0438\u043d\u0441\u043a\u0438\u0435
;\u041e\u0431\u044a\u0435\u043c \u043f\u043b\u0430\u0442\u043d\u043e\u0439 \u0443\u0441\u043b\u0443\u0433\u0438;\u0412\u0430\u043b\u043e\u0432\u044b\u0439 \u0440\u0435\u0433\u0438\u043e\u043d\u0430\u043b\u044c\u043d\u044b\u0439 \u043f\u0440\u043e\u0434\u0443\u043a\u0442(\u0412\u0420\u041f);\u0418\u043d\u0434\u0435\u043a\u0441 \u043f\u043e\u0442\u0440\u0435\u0431\u0438\u0442\u0435\u043b\u044c\u0441\u043a\u0438\u0445 \u0446\u0435\u043d;\u0421\u0440\u0435\u0434\u043d\u0438\u0439 \u0434\u043e\u0445\u043e\u0434 \u043d\u0430\u0441\u0435\u043b\u0435\u043d\u0438\u044f;\u0421\u0440\u0435\u0434\u043d\u0438\u0439 \u0432\u043e\u0437\u0440\u0430\u0441\u0442 \u043d\u0430\u0441\u0435\u043b\u0435\u043d\u0438\u044f;\u0420\u0430\u0441\u0447\u0435\u0442 \u043d\u0430 \u0434\u0443\u0448\u0443 \u043d\u0430\u0441\u0435\u043b\u0435\u043d\u0438\u044f;\u0438\u043d\u0434\u0435\u043a\u0441 \u0444\u0438\u0437\u0438\u0447\u0435\u0441\u043a\u043e\u0433\u043e \u043e\u0431\u044a\u0435\u043c\u0430 \u0432 % \u0441\u043e\u043e\u0442\u043d\u043e\u0448\u0435\u043d\u0438\u0438 \u043a \u043f\u0440\u0435\u0434\u044b\u0434\u0443\u0449\u0435\u043c\u0443 \u0433\u043e\u0434\u0443.
\u0421\u0443\u0431\u044a\u0435\u043a\u0442\u044b;\u0443;\u04451;\u04452;\u04453;\u04454;\u04455;\u04456
\u0411\u0435\u043b\u0433\u043e\u0440\u043e\u0434\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;7779308,2;955\240329\240249,4;103,18;32416,25;42,0033333333333;5483,7;102,9
 \u0411\u0440\u044f\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;3757867,2;399\240113\240785,2;104,01;28330,75;42,1133333333333;3663,6;106,8
\u0412\u043b\u0430\u0434\u0438\u043c\u0438\u0440\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;3317824,3;535\240493\240361,4;103,07;25323;42,88;3529,3;80
 \u0412\u043e\u0440\u043e\u043d\u0435\u0436\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;7067922;1\240001\240790\240281,3;103,23;31997,5;42,72;3557,6;95,5
 \u0418\u0432\u0430\u043d\u043e\u0432\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;2815394,9;254\240968\240880,4;103,32;25703,75;42,9966666666667;3691,8;80,9
\u041a\u0430\u043b\u0443\u0436\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;5050481,5;549\240755\240818,5;103,06;31311,5;42,06;6491,2;94,6
 \u041a\u043e\u0441\u0442\u0440\u043e\u043c\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;2002744,3;203\240821\240423,6;104,19;25240,25;42,08;3781,5;81,9
 \u041a\u0443\u0440\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;2139260,7;495\240864\240427,8;103,76;29108,5;42,5866666666667;3001,6;90,8
 \u041b\u0438\u043f\u0435\u0446\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;9491385,89;570\240022\240912,9;103,45;32468,5;42,3633333333333;8669,1;151,1
 \u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;51009723,59;5\240196\240136\240356,8;103,22;47798;40,5166666666667;7927,19;86,7
 \u041e\u0440\u043b\u043e\u0432\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;3064587,2;266\240655\240649;103,76;26078,5;42,55;5003,49;82
 \u0420\u044f\u0437\u0430\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;2943383,2;436\240417\240665,1;103,68;26822,25;43,4766666666667;3875,9;83,1
 \u0421\u043c\u043e\u043b\u0435\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;3469072;349\240237\240634,9;102,72;27376,25;42,62;4060;87,9
 \u0422\u0430\u043c\u0431\u043e\u0432\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;2299768,4;353\240745\240473,6;104,59;28026,75;43,8366666666667;3081,6;81
 \u0422\u0432\u0435\u0440\u0441\u043a\u0430\u044f \u043e\u0431\u043b\u0430\u0441\u0442\u044c;2937852,2;488\240367\240456;102,64;27112,75;42,9766666666667;3882,8;90,5
